trackName,artistName,msPlayed,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,plays
Provider,Frank Ocean,1889518,6R6ihJhRbgu7JxJKIbW57w,0.654,0.325,2,-11.925,1,0.282,0.74,2.14e-05,0.152,0.39,139.886,243238,4,7.768185892007005
10 Gallons,Zac Flewids,1874473,5q0bIE0KByf8FFA7S4L9WT,0.572,0.752,9,-8.127,1,0.261,0.185,0.0,0.402,0.743,120.111,194000,4,9.662231958762886
1539 N. Calvert,JPEGMAFIA,1864903,6XyxCBp6x3jvtxXvMN5sAA,0.863,0.717,4,-3.143,0,0.17,0.278,0.0826,0.0991,0.357,152.05,157259,4,11.858799814319053
Black Moses (feat. JPEGMAFIA),Channel Tres,1864875,47HWyJVPEmyGLOVgMwrozC,0.912,0.43,1,-11.406,1,0.312,0.0729,0.00228,0.056,0.591,89.045,260225,4,7.166394466327217
Meditate (feat. J.I.D.),EARTHGANG,1863409,0Eqm7hD828cATBLUx2fJox,0.743,0.679,10,-8.295,0,0.286,0.0757,0.0,0.347,0.618,147.752,278084,4,6.700885343996778
I BEEN BORN AGAIN,BROCKHAMPTON,1847982,7frG49GBDHPPvxXRVLRwle,0.771,0.636,2,-5.131,1,0.229,0.318,6e-05,0.0647,0.451,79.832,219720,4,8.410622610595302
Sandstorm (feat. JID),Mereba,1799829,1NlWBpNYAnFT7gMGyC0Y1M,0.637,0.512,2,-10.027,1,0.0978,0.59,0.000464,0.0712,0.33,109.492,179027,5,10.05339418076603
QUEER,BROCKHAMPTON,1794543,4sEnZad9gvLSLkyt8DW11O,0.773,0.625,1,-7.029,0,0.176,0.149,0.0,0.0619,0.676,82.004,227648,4,7.882972835254428
Jailbreak the Tesla (Feat. Aminé),Injury Reserve,1792082,7w0YG5qn9w8LYA4tHpQe0o,0.474,0.698,8,-5.541,0,0.277,0.069,0.0,0.179,0.729,102.289,199600,3,8.978366733466935
Love Hurts (feat. Travis Scott),Playboi Carti,1773655,3K6U7TamNyVSWcFH8pCQHX,0.724,0.45,4,-5.763,0,0.0496,0.0315,1.36e-05,0.111,0.464,140.981,180560,4,9.823078201151972
Begin (feat. Wales),Shallou,1760875,1v5J1L8FbUQya4SUQFCstk,0.601,0.499,6,-11.131,1,0.0343,0.815,0.712,0.109,0.531,96.981,242860,4,7.250576463806309
