,trackName,artistName,id
0,No Understand,YoungBoy Never Broke Again,0Fj1NN9QtXbSmNS46BexHg
0,Rapapapa (feat. RZA),Rich Brian,7sPoDigIbCWDS6AZmOhSRR
0,Sweet but Psycho,Ava Max,25sgk305KZfyuqVBQIahim
0,Triple Helix,KILLY,0DosTwoHVAziTd3GfQNIef
0,The Devil's in the Details,Mac Ayres,5q0zxo739jt8HAyo88vNkt
0,NEW MAGIC WAND,"Tyler, The Creator",0fv2KH6hac06J86hBUTcSf
0,Roses - Imanbek Remix,SAINt JHN,7fPuWrlpwDcHm5aHCH5D9t
0,6 Summers,Anderson .Paak,0lG7iyNSstVOLV6faMIHdD
0,Who Hurt You?,Daniel Caesar,23c9gmiiv7RCu7twft0Mym
0,II. Worldstar,Childish Gambino,79ADanDPMKL9FdjJmdtNj5
0,Jewelry Remover,Justnormal,2FllN4dJIdS4BvqJkTrLmZ
0,Lose It (feat. Vic Mensa),Flume,4O4isJJBeAlmiP27sCDZ4e
0,Broke As Fuck,YBN Cordae,1faIb3PPSzEifCHUOJ691R
0,Unemployed,Tierra Whack,70kjLeuW46xJ5pqzYRLHAf
0,Antidote,Travis Scott,1wHZx0LgzFHyeIZkUydNXq
0,Maniac,Conan Gray,7hpJ9tATWb2vztlq99hERP
0,HyperParadise - Flume Remix,Hermitude,1LQiF6aZfnNgxerxWJRbxw
0,Never Love Again,Eminem,40YbWniIEmqy6s58fYXLUh
0,"It Ain't Easy, It Ain't Easy (feat. Nyck Caution, Kirk Knight, CJ Fly & AKTHESAVIOR)",Beast Coast,4krhkcFf3OqxHSS1QUIsmc
0,"III. Telegraph Ave. (""Oakland"" by Lloyd)",Childish Gambino,0VXfZi7XhfJnuBvF6XiypU
0,R.I.P. SCREW,Travis Scott,4SZepBIPDRwPaHIjAKwRDb
0,Rainbow Six,JPEGMAFIA,4OHWib4PEw8XCfrAaDpVNo
0,Off Deez (with J. Cole),JID,3JAeYOjyJodI4PRs44lx2l
0,Provider,Frank Ocean,6R6ihJhRbgu7JxJKIbW57w
0,10 Gallons,Zac Flewids,5q0bIE0KByf8FFA7S4L9WT
