trackName,artistName,msPlayed
Glow Like Dat,Rich Brian,1458011
Confidently Lost,Sabrina Claudio,1454528
WISH FEAT. KIDDO MARV,Denzel Curry,1453113
N,Jaden,1449141
Rotation 112th,Jay Rock,1444405
All Your Days,Shallou,1442261
Beings,Madeon,1441256
Europa Pools (feat. Kacy Hill),Cashmere Cat,1440935
Work Work,clipping.,1437914
You're On (feat. Kyan),Madeon,1424049
Fake Happy,Paramore,1420968
SUMO | ZUMO,Denzel Curry,1416065
boy,offonoff,1401297
Vintage,NIKI,1400859
Desert Eagle,Felly,1398236
Energy (with A$AP Rocky & Sabrina Claudio),BURNS,1384933
Ali Bomaye,The Game,1382014
EARFQUAKE,"Tyler, The Creator",1381358
ball w/o you,21 Savage,1381339
Forbidden Fruit,J. Cole,1380304
I,Jaden,1377201
Hurt Feelings,Mac Miller,1375694
Calvin's Joint,Mac Ayres,1375105
MAD I GOT IT | MAD 1 GOT 1T,Denzel Curry,1372001
Your Teeth In My Neck,Kali Uchis,1370374
Lavender and Velvet,Alina Baraz,1365494
GUMMY,BROCKHAMPTON,1359743
move!,NIKI,1358446
A Tale of 2 Citiez,J. Cole,1341361
Poke It Out (with Nicki Minaj),Playboi Carti,1340828
BIRDZ FEAT. RICK ROSS,Denzel Curry,1337059
Diamonds Dancing,Drake,1336695
Bonnie & Clyde,DEAN,1318957
NO BYSTANDERS,Travis Scott,1316095
Shea Butter Baby (with J. Cole),Ari Lennox,1316051
Sleepy Eyes,Elohim,1315813
Dope Dealer,ScHoolboy Q,1314626
A BOY IS A GUN*,"Tyler, The Creator",1310503
RENTAL,BROCKHAMPTON,1304988
Shelter,Porter Robinson,1304659
New Apartment,Ari Lennox,1298847
Buy U a Drank (Shawty Snappin'),T-Pain,1294360
DEARLY DEPARTED,BROCKHAMPTON,1293949
"break up with your girlfriend, i'm bored",Ariana Grande,1292069
RPG (feat. 6lack),Kehlani,1292057
Let You Know,Flume,1290670
Rembrandt...Run It Back (with JID & J. Cole feat. Vince Staples),Dreamville,1289683
R.I.P.,Playboi Carti,1284730
Free Lunch,Isaiah Rashad,1279656
NOIZE,Jaden,1278564
Innocence (feat AlunaGeorge),Flume,1276596
Ecstasy (feat. Machine Gun Kelly),Young Thug,1274597
AUTOMATIC,Denzel Curry,1274595
a&t,21 Savage,1269722
Waiting,Mac Ayres,1266884
Money Trees,Kendrick Lamar,1265426
ROS,Mac Miller,1264997
Sky Walker (feat. Travis Scott),Miguel,1264872
10 Freaky Girls (with 21 Savage),Metro Boomin,1255200
THUG LIFE,BROCKHAMPTON,1250449
Hot (feat. Gunna),Young Thug,1245882
Hookers,Tierra Whack,1228941
Glitter,"Tyler, The Creator",1228918
Wasteland,Tierra Whack,1224663
Slippery (feat. Gucci Mane),Migos,1221357
Kelly Price (feat. Travis Scott),Migos,1220116
SKELETONS,Travis Scott,1216434
Jumping Off the Moon,Mac Ayres,1216332
Hasta Luego - Bonus,JID,1215067
can't leave without it,21 Savage,1211556
Acid Dreams,MAX,1209573
Garden Shed,"Tyler, The Creator",1209415
SAN MARCOS,BROCKHAMPTON,1206232
Mindfucker,Sheck Wes,1204563
Faucet Failure,Ski Mask The Slump God,1204321
Gloria,Tierra Whack,1203658
Light,San Holo,1202777
Z4L (with Bari & Jay2),Smino,1202005
Modern Slavery,Huncho Jack,1200314
Show Me,Big Wild,1199693
Self Control,Frank Ocean,1198829
Slick Talk,JID,1198576
How U Feel,Huncho Jack,1198052
Redbone,Childish Gambino,1188232
Park,Isaiah Rashad,1185208
Motorcycle Patches,Huncho Jack,1182401
Don't Let Me Down - Illenium Remix,The Chainsmokers,1181252
Wormhole,Flume,1178376
Mamacita,Travis Scott,1175788
BUTTERFLY EFFECT,Travis Scott,1175281
Gospel,Rich Brian,1173607
Ivy,Frank Ocean,1169643
Pay No Mind (feat. Passion Pit),Madeon,1165769
Butterfly,LOOΠΔ,1164668
Big Titties (feat. Baauer and EarthGang),Rico Nasty,1163141
Nonsense (feat. Mark Foster),Madeon,1157762
Walk On Water,A$AP Mob,1145483
"1993 (with J. Cole, JID, Cozz & EARTHGANG feat. Smino & Buddy)",Dreamville,1144738
Days Like This (feat. Khalid),GoldLink,1142631
Sweet Crazy Love,LOOΠΔ / ODD EYE CIRCLE,1139837
"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",Kali Uchis,1138789
LamboTruck (with Cozz feat. REASON & Childish Major),Dreamville,1131336
SICKO MODE,Travis Scott,1130323
first take,Travis Scott,1129608
If Tomorrow's Not Here,Denzel Curry,1123945
The Chase (feat. Kadhja Bonet),Anderson .Paak,1122714
Stay,Mac Miller,1118296
Workin Out,JID,1115117
wish you were gay,Billie Eilish,1110585
Cold,Rich Brian,1108419
Pothole,"Tyler, The Creator",1105195
Save Me From Myself (with NoMBe & Big Gigantic),Louis The Child,1098877
Wat's Wrong (feat. Zacari & Kendrick Lamar),Isaiah Rashad,1096780
Over My Dead Body,Drake,1092084
Paramedic!,SOB X RBE,1091055
BOOGIE,BROCKHAMPTON,1089978
Frozen,Sabrina Claudio,1086124
ASTROTHUNDER,Travis Scott,1084506
I'm Scared (feat. 21 Savage & Doe Boy),Young Thug,1081805
See Me,Rich Brian,1078744
RESTORE THE FEELING,Daniel Caesar,1078493
Be Afraid,So Much Light,1070991
ST. PERCY,BROCKHAMPTON,1070052
Ninety,Jaden,1069699
The London (feat. J. Cole & Travis Scott),Young Thug,1068165
Tomorrow,Kali Uchis,1064917
Hurt People (with Aloe Blacc),Gryffin,1063987
Crooked Smile,J. Cole,1062346
Young N***a Living,A$AP Mob,1061468
Lord Pretty Flacko Jodye 2 (LPFJ2),A$AP Rocky,1058996
blkswn,Smino,1058300
Lotus Flower Bomb (feat. Miguel),Wale,1056792
If I Can't Have You - Gryffin Remix,Shawn Mendes,1054651
Awake,Tkay Maidza,1053690
Oceans (feat. NKOLO),ARMNHMR,1042843
Cheat Code (feat. Baauer),Rico Nasty,1039056
GOLD,BROCKHAMPTON,1036531
Only Way Out (feat. Vancouver Sleep Clinic),Madeon,1033578
Gook,Denzel Curry,1032425
Stay (with Alessia Cara),Zedd,1030621
Black & Chinese,Huncho Jack,1024220
Deepthroat,cupcakKe,1023921
Love Yourz - Live,J. Cole,1010810
Rumble (feat. Jackson Wang & Lil Nei),GoldLink,1008609
BLACK METAL TERRORIST | 13 M T,Denzel Curry,1003255
Power Trip,J. Cole,1001856
RAF,A$AP Mob,1001735
Panini,Lil Nas X,998234
OPEN UP,Daniel Caesar,996407
COMPLEXITIES,Daniel Caesar,996078
Pink + White,Frank Ocean,994144
100 (feat. Drake),The Game,991785
Wait,NoMBe,988986
Thug Tears,JPEGMAFIA,985059
Cable Guy,Tierra Whack,979903
Antisocial (with Travis Scott),Ed Sheeran,973687
"U Say (feat. Tyler, The Creator & Jay Prince)",GoldLink,972151
Herside Story,GoldLink,967941
Amphetamine,Smino,967181
Fallen,Jaden,965053
Wall Fuck,Flume,964310
Vitality,Flume,961271
No Time (feat. Gunna),Playboi Carti,958172
JELLO,BROCKHAMPTON,956516
Fell In Luv (feat. Bryson Tiller),Playboi Carti,956293
Rich & Sad,Post Malone,956287
Sauce It Up,Lil Uzi Vert,954625
Wasted (feat. Juicy J),Travis Scott,951224
Maple,Felly,950361
Pour Up,DEAN,949980
I Wanna Know (feat. Bea Miller),NOTD,946366
VIVID,BROCKHAMPTON,946363
Smile/Petty (feat. Sonyae Elise),Anderson .Paak,945837
CAN'T SAY,Travis Scott,945112
STOP TRYING TO BE GOD,Travis Scott,942100
NO HALO,BROCKHAMPTON,939964
Rage,Rico Nasty,937850
