trackName,artistName,explicit,popularity,id
Promises - Skrillex & Nero Remix,NERO,0,51,7569Hbv0FUS7vjkdGvdgeZ
Superlove (feat. Oh Wonder),Whethan,0,65,0lchLc0vSyRRqKSPIkFtJI
SICKO MODE,Travis Scott,1,85,2xLMifQCjDGFmkHkpNLD9h
Awaken,Big Wild,0,49,4oYzwOTWpP3JTyKrTHJtqw
Cold,Rico Nasty,1,48,4Onanh2sbZQKTGH8KvWzxS
Crashing (feat. Bahari),ILLENIUM,0,67,17Efhyf4A96n0EFXKeB7Ya
Death by Dishonor,Ghostemane,1,66,5VphpldmtVyZH6S8RpHWLT
Innocence (feat. Aquilo),Madeon,0,43,4B59CsEpwMFAOQXu7snoJF
way back,Travis Scott,1,68,2Zy7XVdxyZQB8xp5xbpJdl
Is It Cold In The Water? - Flume & Eprom Remix,SOPHIE,0,50,5z4TlJ5NN7OQfEBq0InOvM
Your Water,Parker Millsap,0,47,0CjojcaWJEq0HYyxpkXlzu
through the late night,Travis Scott,1,70,1Ci4wASMY4xtKVMeHA6Sd5
SWITCH IT UP | ZWITCH 1T UP,Denzel Curry,1,57,7oopoWQa0jicMSf9SFtxMK
Calvin Cambridge,SOB X RBE,1,65,4HK9Ive4wK7426QXxQZS6L
Self Love (with Ari Lennox & Bas feat. Baby Rose),Dreamville,1,57,7dnSXaCjLdFiWZa8s5wP1n
"thank u, next",Ariana Grande,1,85,3e9HZxeyfWwjeyPAMmWSSQ
Clarity,Zedd,0,73,60wwxj6Dd9NJlirf84wr2c
How To Build A Relationship,Flume,1,54,1Ttu4TYbFIXYDFzOgfVedO
Me Now,Denzel Curry,1,47,5viCJ7GSQxVWUAPBVoV7IL
Got Me (with Ari Lennox & Omen feat. Ty Dolla $ign & Dreezy),Dreamville,1,67,4nw0S8MtvcLSpXCS9M8ciL
Plz Don't Go (feat. Jhené Aiko),Cashmere Cat,0,41,5bHb0PhaG1d4V7EnSHqB6n
Headlow (feat. Norelle),Anderson .Paak,1,49,0L38hbPRV0C4x6CH7WZe1W
Easy,Mac Ayres,0,71,58dSdjfEYNSxte1aNVxuNf
Boca Raton (with A$AP Ferg),Bas,1,61,72ic9IhRix05fIkRzGGMXD
The Sailor,Rich Brian,1,55,4dV4G96hqT5qCU9v7JBCk2
Pixel Empire,Madeon,0,41,66B8m2u4nLLZcbjAPu29w9
Westbrook (with A$AP Ferg),JID,1,56,0GTzZhS8P50p922OEuoNLF
KLINK,Smino,1,57,6tdAmfHEd4cXEkNbCMgOP9
Remember Me,UMI,0,71,630Ug0XtmhhFvAKo0PNuEI
Lean 4 Real (feat. Skepta),Playboi Carti,1,62,1JgkiUg9mSXSwcb5Gbi4Ur
Technicolor,Madeon,0,45,3OgU43E7rPo3u9fNEIpdWi
Happy Now,Zedd,0,77,4keoy2fqgwGnbWlm3ZVZFa
No Flex,Tiny Meat Gang,1,61,70FzPO5rw9GACwmf8iXp1q
Rapapapa (feat. RZA),Rich Brian,1,59,7sPoDigIbCWDS6AZmOhSRR
SWEET,BROCKHAMPTON,1,69,2DgMxFMUQRPthW4ROhjen1
Helix,Flume,0,45,2ahW5IyuKcFCTnyV7gEvIC
The Devil's in the Details,Mac Ayres,0,54,5q0zxo739jt8HAyo88vNkt
NEW MAGIC WAND,"Tyler, The Creator",1,72,0fv2KH6hac06J86hBUTcSf
Roses,Mac Ayres,0,49,0ABtEGkZgxAnJOCKVVhr29
6 Summers,Anderson .Paak,1,54,0lG7iyNSstVOLV6faMIHdD
Who Hurt You?,Daniel Caesar,1,72,23c9gmiiv7RCu7twft0Mym
II. Worldstar,Childish Gambino,1,56,79ADanDPMKL9FdjJmdtNj5
Jewel,Flume,0,57,7cPO2IPraPDlGIguekShlV
Lose It (feat. Vic Mensa),Flume,1,47,4O4isJJBeAlmiP27sCDZ4e
Broke As Fuck,YBN Cordae,1,70,1faIb3PPSzEifCHUOJ691R
Unemployed,Tierra Whack,1,54,70kjLeuW46xJ5pqzYRLHAf
Antidote,Travis Scott,1,75,1wHZx0LgzFHyeIZkUydNXq
Maniac,GoldLink,1,55,5uNhWDGP1gXxS2IZl2alGx
HyperParadise - Flume Remix,Hermitude,0,59,1LQiF6aZfnNgxerxWJRbxw
LOVE AGAIN,Daniel Caesar,0,67,2fhePAlCSsJplwkjqMYpVm
